CODIGO|NOME|DTINICIO|DTFIM|natRubr|tpRubr|codIncCP|codIncIRRF|codIncFGTS|codIncSIND|repDSR|rep13|repFerias|repResc|repAfast|fatorRubr|LOCALAPLIC|Domestica|SE|Geral|DESCRICAO|NOTA|ordRescDom|PerAdicRub|ordRemDom|repSFDom|PerFolRes|PerEditRub|PerExcRub|FilCatRub|grupRendDom|codIncCPRP|codIncPisPasep|RDConsignado
eSocial1910|Férias - Gozadas no mês|01012014|31082016|1020|1|11|13|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à remuneração a que o empregado faz jus na época da concessão de férias, desconsiderado o terço constitucional, proporcional aos dias de férias no mês.||44|S|7|S|N|S|S||31|0|0|S
eSocial1910|Férias - Gozadas no mês|01092016|31122024|1020|1|11|13|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à remuneração a que o empregado faz jus na época da concessão de férias, desconsiderado o terço constitucional, proporcional aos dias de férias no mês.||44|N|7|S|N|N|N||31|0|0|S
eSocial1910|Férias - Gozadas no mês|01012025||1016|1|11|13|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à remuneração a que o empregado faz jus na época da concessão de férias, desconsiderado o terço constitucional, proporcional aos dias de férias no mês.||44|N|7|S|N|N|N||31|0|0|S
eSocial1920|Férias - Adicional 1/3 sobre férias gozadas no mês|01012014|31082016|1020|1|11|13|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente ao terço constitucional de férias gozadas no mês.||45|S|8|N|N|S|S||31|0|0|S
eSocial1920|Férias - Adicional 1/3 sobre férias gozadas no mês|01092016|31122024|1020|1|11|13|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente ao terço constitucional de férias gozadas no mês.||45|N|8|N|N|N|N||31|0|0|S
eSocial1920|Férias - Adicional 1/3 sobre férias gozadas no mês|01012025||1017|1|11|13|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente ao terço constitucional de férias gozadas no mês.||45|N|8|N|N|N|N||31|0|0|S
eSocial1925|Férias - Pagamento prorrogado - Adicional 1/3 sobre férias - MP 927/2020|01042020|30042020|1020|1|11|13|11|0|N|N|N|N|N||S-1200-M;S-2299|S|N|N|Valor referente ao terço constitucional de férias gozadas previsto pela Medida Provisória 927/2020 para pagamento até 20/12/2020.||68|S|60|N|N|S|S||31|0|0|N
eSocial1925|Férias - Pagamento prorrogado - Adicional 1/3 sobre férias - MP 1.046/2021|01042021|30112021|1020|1|11|13|11|0|N|N|N|N|N||S-1200-M;S-2299|S|N|S|Valor referente ao terço constitucional de férias gozadas previsto pela Medida Provisória 1.046/2021 para pagamento até 20/12/2021.||68|S|60|N|N|S|S||31|0|0|N
eSocial1925|Férias - Pagamento prorrogado - Adicional 1/3 sobre férias - MP 927/2020|01052020|31122020|1020|1|11|13|11|0|N|N|N|N|N||S-1200-M|S|N|N|Valor referente ao terço constitucional de férias gozadas previsto pela Medida Provisória 927/2020 para pagamento até 20/12/2020.||68|S|60|N|N|S|S||31|0|0|N
eSocial1930|Férias - Abono pecuniário de férias|01012014|31082016|1023|1|0|75|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à conversão em dinheiro de 1/3 dos dias de férias a que o empregado possui direito.|Ato Declaratório PGFN nº 6, de 16 de novembro de 2006.|46|S|9|N|N|S|S|1;4|47|0|0|N
eSocial1930|Férias - Abono pecuniário de férias|01092016||1023|1|0|75|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à conversão em dinheiro de 1/3 dos dias de férias a que o empregado possui direito.|Ato Declaratório PGFN nº 6, de 16 de novembro de 2006.|46|N|9|N|N|N|N|1;4|47|0|0|N
eSocial1940|Férias - Adicional 1/3 sobre abono pecuniário|01012014|31082016|1023|1|0|13|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente ao terço constitucional de férias, incidente sobre o abono pecuniário de férias no mês.|Ato Declaratório PGFN nº 6, de 16 de novembro de 2006.|47|S|10|N|N|S|S|1;4|47|0|0|N
eSocial1940|Férias - Adicional 1/3 sobre abono pecuniário|01092016||1023|1|0|13|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente ao terço constitucional de férias, incidente sobre o abono pecuniário de férias no mês.|Ato Declaratório PGFN nº 6, de 16 de novembro de 2006.|47|N|10|N|N|N|N|1;4|31|0|0|N
eSocial1945|Férias - Pagamento prorrogado - Abono pecuniário de férias + 1/3 - MP 927/2020|01042020|30042020|1023|1|0|75|0|0|N|N|N|N|N||S-1200-M;S-2299|S|N|N|Valor referente à conversão em dinheiro de 1/3 dos dias a que o empregado possui direito e do seu terço constitucional de férias, incidente sobre o abono pecuniário de férias no mês, previsto pela Medida Provisória 927/2020 para pagamento até 20/12/2020.||69|S|61|N|N|S|S||47|0|0|N
eSocial1945|Férias - Pagamento prorrogado - Abono pecuniário de férias + 1/3 - MP 1.046/2021|01042021|30112021|1023|1|0|75|0|0|N|N|N|N|N||S-1200-M;S-2299|S|N|S|Valor referente à conversão em dinheiro de 1/3 dos dias a que o empregado possui direito e do seu terço constitucional de férias, incidente sobre o abono pecuniário de férias no mês, previsto pela Medida Provisória 1.046/2021 para pagamento até 20/12/2021.||69|S|61|N|N|S|S||47|0|0|N
eSocial1945|Férias - Pagamento prorrogado - Abono pecuniário de férias + 1/3 - MP 927/2020|01052020|31122020|1023|1|0|75|0|0|N|N|N|N|N||S-1200-M|S|N|N|Valor referente à conversão em dinheiro de 1/3 dos dias a que o empregado possui direito e do seu terço constitucional de férias, incidente sobre o abono pecuniário de férias no mês, previsto pela Medida Provisória 927/2020 para pagamento até 20/12/2020.||69|S|61|N|N|S|S||47|0|0|N
eSocial1950|Férias - O dobro na vigência do contrato|01012014|31082016|1024|1|0|13|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à dobra da remuneração de férias gozadas no mês, por terem sido concedidas após o prazo legal, inclusive o terço constitucional.||48|S|11|N|N|S|S|1;4|31|0|0|N
eSocial1950|Férias - O dobro na vigência do contrato|01092016||1024|1|0|13|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à dobra da remuneração de férias gozadas no mês, por terem sido concedidas após o prazo legal, inclusive o terço constitucional.||48|N|11|N|N|N|N|1;4|31|0|0|N
eSocial1955|Abono pecuniário de férias - O dobro na vigência do contrato|01012014|31082016|1024|1|0|75|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à dobra do abono pecuniário de férias, por ter sido concedido após o prazo legal, inclusive o terço constitucional.||49|S|12|N|N|S|S|1;4|47|0|0|N
eSocial1955|Abono pecuniário de férias - O dobro na vigência do contrato|01092016||1024|1|0|75|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à dobra do abono pecuniário de férias, por ter sido concedido após o prazo legal, inclusive o terço constitucional.||49|N|12|N|N|N|N|1;4|47|0|0|N
eSocial1960|Diárias de viagem - até 50% do salário|01012014|31102017|1651|1|0|72|0|0|N|N|N|N|N||S-1200-M;S-2299|N|N|N|Valor pago ao empregado a título de diária de viagem, desde que não exceda a 50% do seu salário-base mensal.|||S||N|N|S|S||0|0|0|N
eSocial1970|Diárias de viagem - acima de 50% do salário|01012014|31102017|1652|1|11|11|11|0|N|S|S|S|S||S-1200-M;S-2299|N|N|N|Valor pago ao empregado a título de diária de viagem, superior a 50% do salário-base mensal.|||S||S|N|S|S||31|0|0|S
eSocial1975|Diárias de viagem|01052018||1650|1|0|72|0|0|N|N|N|N|N||S-1200-M;S-2299|N|N|N|Valor pago ao empregado a título de diária de viagem.|||S||N|N|S|S||0|0|0|N
eSocial1980|Ajuda de custo de transferência (Parcela única)|01012014||1602|1|0|73|0|0|N|N|N|N|N||S-1200-M;S-2299|N|N|N|Valor pago ao trabalhador em parcela única, em razão de transferência de seu local trabalho (art. 470 CLT).|||S||N|N|S|S||0|0|0|N
eSocial1981|Ajuda de custo|01012014||1603|1|0|73|0|0|N|N|N|N|N||S-1200-M;S-2299|N|S|S|Ajuda de custo paga ao trabalhador|||S||N|N|S|S||0|0|0|N
eSocial1982|Ressarcimento de despesas pelo uso de veículo próprio|01012014||1620|1|0|9|0|0|N|N|N|N|N||S-1200-M;S-2299|N|S|S|Ressarcimento de despesas ao trabalhador, pela utilização de veículo de sua propriedade|||S||N|N|S|S||0|0|0|N
eSocial1983|Ressarcimento de despesas de viagem, exceto despesas com veículos|01012014||1621|1|0|9|0|0|N|N|N|N|N||S-1200-M;S-2299|N|S|S|Ressarcimento de despesas pagas com recursos do trabalhador em viagens a trabalho|||S||N|N|S|S||0|0|0|N
eSocial1984|Ressarcimento de provisão|01012014||1623|1|0|9|0|0|N|N|N|N|N||S-1200-M;S-2299|N|S|S|Ressarcimento de desconto efetuado em recibos de férias relativo a provisão de contribuição previdenciária|||S||N|N|S|S||0|0|0|N
eSocial1985|Ressarcimento de outras despesas|01012014||1629|1|0|9|0|0|N|N|N|N|N||S-1200-M;S-2299|N|S|S|Ressarcimento de outras despesas pagas pelo trabalhador, não previstas nos itens anteriores|||S||N|N|S|S||0|0|0|N
eSocial1990|Reembolsos diversos (com natureza salarial)|01012014|31072021|2920|1|11|11|11|0|N|N|N|N|N||S-1200-M;S-2299|N|N|N|Valor relativo a reembolsos diversos referentes a descontos indevidos, com natureza salarial, efetuados em competências anteriores.|||S||S|N|S|S||31|0|0|S
eSocial2000|Ajuda Compensatória - Lei 14.020/2020|01042020|31122020|1619|1|0|0|0|0|N|N|N|N|N||S-1200-M;S-2299|S|N|N|Ajuda compensatória paga pelo empregador ao empregado durante período de suspensão do contrato de trabalho ou redução proporcional de salário e jornada.||70|S|62|S|N|S|S||47|0|0|N
eSocial2000|Ajuda Compensatória - MP 1.045/2021|01042021|30062021|1619|1|0|0|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Ajuda compensatória paga pelo empregador ao empregado durante período de suspensão do contrato de trabalho ou redução proporcional de salário e jornada.||70|S|62|S|N|S|S||47|0|0|N
eSocial2000|Ajuda Compensatória - MP 1.045/2021|01072021||1619|1|0|9|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Ajuda compensatória paga pelo empregador ao empregado durante período de suspensão do contrato de trabalho ou redução proporcional de salário e jornada.||70|S|62|S|N|S|S||47|0|0|N
eSocial2020|Reembolsos diversos (sem natureza salarial)|01012014|30062021|2920|1|0|0|0|0|N|N|N|N|N||S-1200-M;S-2299|N|N|N|Valor relativo a reembolsos diversos referentes a descontos indevidos, sem natureza salarial, efetuados em competências anteriores.|||S||N|N|S|S|||0|0|N
eSocial2020|Reembolsos diversos (sem natureza salarial)|01072021|31072021|2920|1|0|9|0|0|N|N|N|N|N||S-1200-M;S-2299|N|N|N|Valor relativo a reembolsos diversos referentes a descontos indevidos, sem natureza salarial, efetuados em competências anteriores.|||S||N|N|S|S|||0|0|N
eSocial2030|PLR - Participação nos lucros e resultados|01012014||1300|1|0|14|0|0|N|N|N|N|N||S-1200-M;S-2299|N|N|N|Valor paga ao empregado relativo a participação nos lucros e resultados da empresa|||S||N|N|S|S||0|0|0|N
eSocial2050|Arredondamentos|01012014||2999|1|0|9|0|0|N|N|N|N|N||S-1200-M;S-2299|N|S|S|Valor lançado em folha de pagamento, não superior a 99 centavos, relativo a arrendamentos|||S||N|N|S|S||0|0|0|N
eSocial2100|Estagiários - Bolsa|01012014||1350|1|0|11|0|0|N|N|N|N|N||S-1200-M|N|N|N|Valor pago ao estagiário em atividades práticas de complementação do currículo escolar, inclusive os valores pagos a título de recesso remunerado. Lei nº 11.788 de 25/09/2008.|||S||N|N|S|S||31|0|0|N
eSocial2110|Numerário - Remuneração do contribuinte individual|01012014||3501|1|11|11|0|0|N|N|N|N|N||S-1200-M|N|N|N|Valor referente ao pagamento dos serviços prestados à empresa pelo contribuinte individual|||S||N|N|S|S||31|0|0|S
eSocial2120|Honorários|01012014||3501|1|11|11|0|0|N|S|N|N|S||S-1200-M|N|N|N|Valor pago ao profissional liberal que presta serviços diretamente à empresa.|||S||N|N|S|S||31|0|0|S
eSocial2130|Retiradas (pró-labore) de proprietários ou sócios|01012014||3508|1|11|11|0|0|N|N|N|N|N||S-1200-M|N|N|N|Valor referente ao Pró-labore ou retirada (remuneração) paga a proprietários ou sócios da empresa.|||S||N|N|S|S||31|0|0|S
eSocial2131|Retiradas (pró-labore) de diretores (não empregados) optantes pelo FGTS|01012014||3506|1|11|11|11|0|N|N|N|N|N||S-1200-M;S-2299|N|N|N|Valor referente ao Pró-labore ou retirada (remuneração) paga a diretores não empregados.|||S||N|N|S|S||31|0|0|S
eSocial2500|Base de Cálculo do FGTS - Reclamatória Trabalhista|01012014||9939|3|0|0|11|0|N|N|N|N|N||S-1200-M;S-2299|S|N|N|Valor referente à base de cálculo do FGTS para recolhimento em decorrência de sentença em Processo Trabalhista.|||S||N|S|S|S||0|0|0|N
eSocial3000|Saldo de salários|01012014||6000|1|11|11|11|0|N|N|N|N|N||S-2299|S|S|S|Valor referente aos dias trabalhados no mês da rescisão contratual, desconsideradas as faltas e o respectivo DSR.||1|N||S|N|S|N||31|0|0|S
eSocial3010|13º salário sobre o aviso prévio indenizado|01012014||6001|1|12|74|21|0|N|N|N|N|N||S-2299|S|S|S|Valor referente ao 13º salário incidente sobre o aviso prévio indenizado, por ocasião da rescisão do contrato de trabalho.||7|N||N|N|S|N||46|0|0|S
eSocial3020|13º salário proporcional|01012014||6002|1|12|12|12|0|N|N|N|N|N||S-2299|S|S|S|Valor referente ao 13º salário proporcional, por ocasião da rescisão do contrato de trabalho.||2|N||N|N|S|N||51|0|0|S
eSocial3030|Aviso prévio indenizado|01012014||6003|1|0|74|21|0|N|N|N|N|N||S-2299|S|S|S|Valor referente à remuneração do aviso prévio indenizado, calculado de acordo com o tempo de serviço do empregado.||6|N||N|N|S|N||46|0|0|N
eSocial3040|Férias vencidas - em dobro - na rescisão|01012014||6004|1|0|74|0|0|N|N|N|N|N||S-2299|S|S|S|Valor referente à remuneração dobrada de férias, em virtude da não concessão no prazo legal, por ocasião da rescisão do contrato de trabalho.|Ato Declaratório PGFN nº 14, de 2 de dezembro de 2008.|56|N||N|N|S|N||46|0|0|N
eSocial3050|Férias proporcionais|01012014||6006|1|0|74|0|0|N|N|N|N|N||S-2299|S|S|S|Valor referente a férias proporcionais, por ocasião da rescisão do contrato de trabalho.|Ato Declaratório PGFN nº 5, de 16 de novembro de 2006.|4|N||N|N|S|N||46|0|0|N
eSocial3060|Férias vencidas|01012014||6007|1|0|74|0|0|N|N|N|N|N||S-2299|S|S|S|Valor referente a férias vencidas, mas dentro do período concessivo, por ocasião da rescisão do contrato de trabalho.|Parecer PGFN CAT nº 2.956, de 2009, de 7 de abril de 2010, item 11. Citado no Parecer PGFN CAT nº 614, de 2010.|3|N||N|N|S|N||46|0|0|N
eSocial3065|Férias sobre o aviso prévio indenizado|01012014||6006|1|0|74|0|0|N|N|N|N|N||S-2299|S|S|S|Valor referente a férias incidentes sobre o aviso prévio indenizado, por ocasião da rescisão do contrato de trabalho.||8|N||N|N|S|N||46|0|0|N
eSocial3070|Adicional de 1/3 sobre férias|01012014||6007|1|0|74|0|0|N|N|N|N|N||S-2299|S|S|S|Valor referente ao terço constitucional de férias vencidas, inclusive em dobro, e/ou proporcionais, inclusive sobre o aviso prévio indenizado.|XI - adicional de 1/3 (um terço) previsto no inciso XVII do art. 7º da Constituição Federal, quando agregado a pagamento de férias - simples ou proporcionais - vencidas e não gozadas, convertidas em pecúnia, em razão de rescisão do contrato de trabalho (Ato Declaratório PGFN nº 6, de 1º de dezembro de 2008).|5|N||N|N|N|N||46|0|0|N
eSocial3080|Indenização do art. 9º da Lei 7.238/1984|01012014||6102|1|0|74|0|0|N|N|N|N|N||S-2299|S|N|N|Valor pago ao empregado a título de indenização quando a dispensa ocorrer sem justa causa dentro dos trinta dias que antecedem a data base.||70|N||N|N|S|N||46|0|0|N
eSocial3090|Indenização do art. 14 da lei nº 5.889, de 8 de junho de 1973|01012014||6103|1|0|74|0|0|N|N|N|N|N||S-2299|N|N|N|Valor pago ao safrista, a título de indenização do tempo de serviço, importância correspondente a 1/12 (um doze avos) do salário mensal, por mês de serviço ou fração superior a 14 (quatorze) dias.||70|N||N|N|S|N||46|0|0|N
eSocial3100|Indenização pela extinção antecipada do contrato a termo|01012014||6104|1|0|74|0|0|N|N|N|N|N||S-2299|S|S|S|Valor referente à indenização correspondente à metade da remuneração devida ao empregado até o termino do contrato por prazo determinado em caso de rescisão antecipada, por iniciativa do empregador.||11|N||N|N|S|N||46|0|0|N
eSocial3110|Multa por atraso no pagamento da rescisão (art. 477, § 8º, da CLT)|01012014||6106|1|0|74|0|0|N|N|N|N|N||S-2299|S|S|S|Valor referente à indenização por atraso no pagamento de rescisão do contrato de trabalho.||10|N||N|N|S|N||46|0|0|N
eSocial3120|Indenização por quebra de estabilidade|01012014||6107|1|0|74|0|0|N|N|N|N|N||S-2299|S|S|S|Valor referente à indenização por desligamento durante período de estabilidade legal, ou estabilidade derivada de acordo ou convenção coletiva de trabalho.||12|N||N|N|S|N||46|0|0|N
eSocial3200|Indenização rescisória - Programa Emergencial de Manutenção do Emprego e da Renda|01042020|30062021|6119|1|0|0|0|0|N|N|N|N|N||S-2299|S|S|S|Indenização pela dispensa sem justa causa que ocorrer durante o período de garantia provisória no emprego de que trata o Programa Emergencial de Manutenção do Emprego e da Renda.||71|S||S|N|S|S||46|0|0|N
eSocial3200|Indenização rescisória - Programa Emergencial de Manutenção do Emprego e da Renda|01072021||6119|1|0|9|0|0|N|N|N|N|N||S-2299|S|S|S|Indenização pela dispensa sem justa causa que ocorrer durante o período de garantia provisória no emprego de que trata o Programa Emergencial de Manutenção do Emprego e da Renda.||71|S||S|N|S|S||46|0|0|N
eSocial3500|Diferença de remuneração mensal|01012014|30062016|1000|1|11|11|11|0|S|S|S|S|S||S-1200-M;S-2299|S|S|S|Valor referente à diferença de remuneração mensal do empregado (exceto 13º salário e férias), relativa a mês(es) anterior(es), paga retroativamente.||57|S|47|N|N|S|S||31|0|0|S
eSocial3500|Retroativo - Diferença de remuneração mensal|01072016||1000|1|11|11|11|0|S|S|S|S|S||S-1200-M;S-2299|S|S|S|Valor referente à diferença de remuneração mensal do empregado (exceto 13º salário e férias), relativa a mês(es) anterior(es), paga retroativamente.||57|S|47|N|N|S|S||31|0|0|S
eSocial3501|Diferença de 13º salário|01012014|30062016|5001|1|12|12|12|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de 13º salário do empregado, relativa a ano atual ou anterior, paga retroativamente.||58|S|48|N|N|S|S||51|0|0|N
eSocial3501|Retroativo - Diferença de 13º salário|01072016||5001|1|12|12|12|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de 13º salário do empregado, relativa a ano atual ou anterior, paga retroativamente.||58|S|48|N|N|S|S||51|0|0|N
eSocial3502|Diferença de férias gozadas|01012014|30062016|1020|1|11|13|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de férias do empregado acrescidas do terço constitucional, relativa a mês(es) atual ou anterior(es), paga retroativamente.||59|S|49|N|N|S|S||31|0|0|S
eSocial3502|Retroativo - Diferença de férias gozadas|01072016|31122024|1020|1|11|13|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de férias do empregado, desconsiderado o terço constitucional, relativa a mês(es) atual ou anterior(es), paga retroativamente.||59|S|49|N|N|S|S||31|0|0|S
eSocial3502|Retroativo - Diferença de férias gozadas|01012025||1016|1|11|13|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de férias do empregado, desconsiderado o terço constitucional, relativa a mês(es) atual ou anterior(es), paga retroativamente.||59|S|49|N|N|S|S||31|0|0|S
eSocial3503|Diferença de verbas indenizatórias|01012014|30062016|6129|1|0|0|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de verbas indenizatórias (sem natureza de remuneração), relativa a mês(es) anterior(es), paga retroativamente.||60|S|50|N|N|S|S|||0|0|N
eSocial3503|Retroativo - Diferença de verbas indenizatórias|01072016|30062021|6129|1|0|0|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de verbas indenizatórias (sem natureza de remuneração), relativa a mês(es) anterior(es), paga retroativamente.||60|S|50|N|N|S|S|||0|0|N
eSocial3503|Retroativo - Diferença de verbas indenizatórias|01072021||6129|1|0|9|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de verbas indenizatórias (sem natureza de remuneração), relativa a mês(es) anterior(es), paga retroativamente.||60|S|50|N|N|S|S|||0|0|N
eSocial3504|Diferença de salário maternidade (pago pelo INSS)|01012014|30062016|4050|3|25|0|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de remuneração mensal da empregada afastada em virtude de licença-maternidade, relativa a mês(es) anterior(es).||61|S|51|N|N|S|S|2||0|0|N
eSocial3504|Retroativo - Diferença de salário maternidade (pago pelo INSS)|01072016|30062021|4050|3|25|0|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de remuneração mensal da empregada afastada em virtude de licença-maternidade, relativa a mês(es) anterior(es).||61|S|51|N|N|S|S|2||0|0|N
eSocial3504|Retroativo - Diferença de salário maternidade (pago pelo INSS)|01072021||9930|3|25|9|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de remuneração mensal da empregada afastada em virtude de licença-maternidade, relativa a mês(es) anterior(es).||61|S|51|N|N|S|S|2||0|0|N
eSocial3505|Diferença de salário maternidade - 13º salário (pago pelo INSS)|01012014|30062016|4051|3|26|0|12|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de remuneração mensal da empregada afastada em virtude de licença-maternidade, proporcional aos meses de afastamento no ano atual ou anterior.||62|S|52|N|N|S|S|2||0|0|N
eSocial3505|Retroativo - Diferença de salário maternidade - 13º salário (pago pelo INSS)|01072016|30062021|4051|3|26|0|12|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de remuneração mensal da empregada afastada em virtude de licença-maternidade, proporcional aos meses de afastamento no ano atual ou anterior.||62|S|52|N|N|S|S|2||0|0|N
eSocial3505|Retroativo - Diferença de salário maternidade - 13º salário (pago pelo INSS)|01072021||9931|3|26|9|12|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de remuneração mensal da empregada afastada em virtude de licença-maternidade, proporcional aos meses de afastamento no ano atual ou anterior.||62|S|52|N|N|S|S|2||0|0|N
eSocial3506|Diferença de auxílio-doença acidentário (pago pelo INSS)|01012014|30062016|9932|3|0|0|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de remuneração mensal do empregado afastado em virtude de auxílio-doença por acidente do trabalho ou doença ocupacional, relativa a mês(es) anterior(es).||63|S|53|N|N|S|S|2||0|0|N
eSocial3506|Retroativo - Diferença de auxílio-doença acidentário (pago pelo INSS)|01072016|30062021|9932|3|0|0|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de remuneração mensal do empregado afastado em virtude de auxílio-doença por acidente do trabalho ou doença ocupacional, relativa a mês(es) anterior(es).||63|S|53|N|N|S|S|2||0|0|N
eSocial3506|Retroativo - Diferença de auxílio-doença acidentário (pago pelo INSS)|01072021||9932|3|0|9|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de remuneração mensal do empregado afastado em virtude de auxílio-doença por acidente do trabalho ou doença ocupacional, relativa a mês(es) anterior(es).||63|S|53|N|N|S|S|2||0|0|N
eSocial3507|Diferença de salário base do serviço militar obrigatório|01012014|30062016|9905|3|0|0|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de remuneração mensal do empregado afastado para prestação de serviço militar obrigatório, relativa a mês(es) anterior(es).||64|S|54|N|N|S|S|2||0|0|N
eSocial3507|Retroativo - Diferença de salário base do serviço militar obrigatório|01072016|30062021|9905|3|0|0|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de remuneração mensal do empregado afastado para prestação de serviço militar obrigatório, relativa a mês(es) anterior(es).||64|S|54|N|N|S|S|2||0|0|N
eSocial3507|Retroativo - Diferença de salário base do serviço militar obrigatório|01072021||9905|3|0|9|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de remuneração mensal do empregado afastado para prestação de serviço militar obrigatório, relativa a mês(es) anterior(es).||64|S|54|N|N|S|S|2||0|0|N
eSocial3508|Diferença de férias gozadas|01072016|31122024|1020|1|11|13|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de férias, relativa a mês(es) atual ou anterior(es), paga retroativamente.||50|S|13|N|N|S|S||31|0|0|S
eSocial3508|Diferença de férias gozadas|01012025||1016|1|11|13|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de férias, relativa a mês(es) atual ou anterior(es), paga retroativamente.||50|S|13|N|N|S|S||31|0|0|S
eSocial3509|Diferença do adicional de 1/3 sobre férias gozadas|01072016|31122024|1020|1|11|13|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença do terço constitucional de férias, relativa a mês(es) atual ou anterior(es), paga retroativamente.||51|S|14|N|N|S|S||31|0|0|S
eSocial3509|Diferença do adicional de 1/3 sobre férias gozadas|01012025||1017|1|11|13|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença do terço constitucional de férias, relativa a mês(es) atual ou anterior(es), paga retroativamente.||51|S|14|N|N|S|S||31|0|0|S
eSocial3510|Diferença de abono pecuniário de férias|01072016||1023|1|0|75|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença de abono pecuniário de férias, desconsiderado o terço constitucional, relativa a mês(es) atual ou anterior(es), paga retroativamente.|Ato Declaratório PGFN nº 6, de 16 de novembro de 2006.|52|S|15|N|N|S|S||47|0|0|N
eSocial3511|Diferença do adicional de 1/3 sobre abono pecuniário|01072016||1023|1|0|75|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença do terço constitucional de férias incidente sobre o abono pecuniário de férias, relativa a mês(es) atual ou anterior(es), paga retroativamente.|Ato Declaratório PGFN nº 6, de 16 de novembro de 2006.|53|S|16|N|N|S|S||47|0|0|N
eSocial3512|Diferença da dobra de férias na vigência do contrato|01072016||1024|1|0|13|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença da dobra da remuneração de férias gozadas, inclusive o terço constitucional, relativa a mês(es) atual ou anterior(es), paga retroativamente.||54|S|17|N|N|S|S||31|0|0|N
eSocial3513|Diferença da dobra de abono pecuniário de férias|01072016||1024|1|0|75|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à diferença da dobra do abono pecuniário de férias, inclusive o terço constitucional, relativa a mês(es) atual ou anterior(es), paga retroativamente.||55|S|18|N|N|S|S||47|0|0|N
eSocial4000|Saldo para pgto prorrogado do adicional de 1/3 sobre férias gozadas - MP 927/2020|01042020|30112020|1020|1|11|13|11|0|N|N|N|N|N||S-2299|S|N|N|Valor restante para pagamento do terço constitucional de férias gozadas previsto pela Medida Provisória 927/2020, prorrogado para pagamento até 20/12/2020.||72|N|63|N|N|N|N||31|0|0|S
