CODIGO|NOME|DTINICIO|DTFIM|natRubr|tpRubr|codIncCP|codIncIRRF|codIncFGTS|codIncSIND|repDSR|rep13|repFerias|repResc|repAfast|fatorRubr|LOCALAPLIC|Domestica|SE|Geral|DESCRICAO|NOTA|ordRescDom|PerAdicRub|ordRemDom|repSFDom|PerFolRes|PerEditRub|PerExcRub|FilCatRub|grupRendDom|codIncCPRP|codIncPisPasep|RDConsignado
eSocial1200|DSR - Descanso Semanal Remunerado|01012014||1002|1|11|11|11|0|N|S|S|S|S||S-1200-M;S-2299|S|S|S|Valor referente ao salário dos dias de descanso semanal e feriados do mês pago ao empregado contratado por hora, dia ou semana, ou referente ao DSR devido na rescisão quando da última semana integralmente trabalhada pelo empregado contratado por mês ou quinzena.||24|S|2|S|N|S|S||31|0|0|S
eSocial1210|DSR - Descanso Semanal Remunerado - sobre Horas Extras|01012014||1002|1|11|11|11|0|N|S|S|S|S||S-1200-M;S-2299|S|S|S|Valor referente ao reflexo das horas extras devidas no mês sobre o DSR.||18|S|24|S|N|S|S||31|0|0|S
eSocial1211|DSR - Descanso Semanal Remunerado - sobre Adicional Noturno|01012014||1002|1|11|11|11|0|N|S|S|S|S||S-1200-M;S-2299|S|S|S|Valor referente ao reflexo do adicional noturno devido no mês sobre o DSR.||21|S|27|S|N|S|S||31|0|0|S
eSocial1212|DSR - Descanso Semanal Remunerado - sobre Adicional de Viagem do empregado doméstico|01012014||1002|1|11|11|11|0|N|S|S|S|S||S-1200-M;S-2299|S|N|N|Valor referente ao reflexo do adicional de viagem do empregado doméstico devido no mês sobre o DSR.||23|S|29|S|N|S|S||31|0|0|S
eSocial1213|DSR - Descanso Semanal Remunerado - sobre comissões, percentagens|01012014||1002|1|11|11|11|0|N|S|S|S|S||S-1200-M;S-2299|N|N|N|Valor correspondente a um dia de trabalho do empregado, incidente sobre a média das verbas de natureza variável, especificamente comissões e percentagens|||S||S|N|S|S||31|0|0|S
eSocial1220|DSR - Descanso Semanal Remunerado - em dobro|01012014|30112016|1002|1|11|11|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente ao dobro do salário relativo ao DSR, em razão de trabalho em dia destinado ao descanso.||25|S|30|S|N|S|S||31|0|0|S
eSocial1220|Descanso semanal e/ou feriado trabalhados|01122016||1002|1|11|11|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente ao dobro do salário, relativo ao trabalho não compensado prestado em dias de descanso semanal e feriados.||25|S|30|S|N|S|S||31|0|0|S
eSocial1300|Adicional de insalubridade|01012014||1202|1|11|11|11|0|N|S|S|S|S||S-1200-M;S-2299|S|S|S|Valor correspondente ao adicional por serviços prestados em ambientes insalubres.||32|S|37|S|N|S|S||31|0|0|S
eSocial1310|Adicional de periculosidade|01012014||1203|1|11|11|11|0|N|S|S|S|S||S-1200-M;S-2299|S|S|S|Valor correspondente ao adicional por serviços prestados em condições perigosas.||33|S|38|S|N|S|S||31|0|0|S
eSocial1320|Adicional por tempo de serviço|01012014||1206|1|11|11|11|0|N|S|S|S|S||S-1200-M;S-2299|N|N|N|Valor referente ao adicional pago ao trabalhador em virtude do tempo de serviço para o mesmo empregador - convenção coletiva / estatuto da empresa (anuênio, quinquênio etc.).|||S||S|N|S|S||31|0|0|S
eSocial1330|Adicional de transferência|01012014||1204|1|11|11|11|0|N|S|S|S|S||S-1200-M;S-2299|N|N|N|Valor pago ao empregado em razão de alteração do local de trabalho que resulte em mudança de residência|||S||S|N|S|S||31|0|0|S
eSocial1340|Adicional de viagem do empregado doméstico|01012014||1204|1|11|11|11|0|S|S|S|S|S||S-1200-M;S-2299|S|N|N|Valor referente ao adicional de viagem do empregado doméstico, nunca inferior a 25% do valor da hora normal.||22|S|28|S|N|S|S||31|0|0|S
eSocial1350|Outros adicionais|01012014||1299|1|11|11|11|0|N|S|S|S|S||S-1200-M;S-2299|S|S|S|Valor referente a outros adicionais não previstos nos itens anteriores.||34|S|39|S|N|S|S||31|0|0|S
eSocial1400|Quebra de caixa|01012014||1225|1|11|11|11|0|N|S|S|S|S||S-1200-M;S-2299|N|N|N|Valor pago para cobrir os riscos assumidos pelo empregado que trabalha com manuseio de valores, para compensar eventuais descontos ou diferenças de numerários.|||S||S|N|S|S||31|0|0|S
eSocial1410|Gratificações|01012014||1211|1|11|11|11|0|S|S|S|S|S||S-1200-M;S-2299|S|S|S|Valor referente a gratificações pagas ao trabalhador.||28|S|33|S|N|S|S||31|0|0|S
