CODIGO|DESCRICAO|DTINICIO|DTFIM|PERALTMOT|DOMESTICO|DESCRESUM|SUSSALMEN|PAGSALFAM|GERAREMUN|MEI|SEGURADOESPECIAL|MPE|CODCATEG
19|Licença maternidade - Afastamento temporário por motivo de aborto não criminoso|01012014|||S|Licença maternidade - Aborto não criminoso|S|1|S|S|S|S|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
20|Licença maternidade - Afastamento temporário por motivo de licença-maternidade decorrente de adoção ou guarda judicial de criança, inclusive para o cônjuge sobrevivente|01012014|18072021||S|Licença maternidade - Adoção ou guarda judicial|S|1|S|S|S|S|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
20|Licença maternidade - Afastamento temporário por motivo de licença-maternidade para o cônjuge sobrevivente ou decorrente de adoção ou de guarda judicial de criança|19072021|||S|Licença maternidade - Cônjuge sobrevivente ou decorrente de adoção ou guarda judicial|S|1|S|S|S|S|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
21|Licença não remunerada ou sem vencimento|01012014|||S|Licença não remunerada ou sem vencimento|S|3|N|S|S|S|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
22|Mandato eleitoral - Afastamento temporário para o exercício de mandato eleitoral, sem remuneração|01012014|18072021||S|Mandato eleitoral, sem remuneração|S|3|N|S|S|S|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
22|Mandato eleitoral - Afastamento temporário para o exercício de mandato eleitoral|19072021|||S|Mandato eleitoral|S|3|N|S|S|S|101;102;103;104;105;106;107;108;111;301;302;303;304;305;306;307;308;309;310;311;312;313;314
23|Mandato eleitoral - Afastamento temporário para o exercício de mandato eleitoral, com remuneração|01012014|31122016||S|Mandato eleitoral, com remuneração||||N|N|N|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
23|Mandato eleitoral - Afastamento temporário para o exercício de mandato eleitoral, com remuneração|01012017|18072021||N|Mandato eleitoral, com remuneração||||N|N|N|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
24|Mandato sindical - Afastamento temporário para exercício de mandato sindical|01012014|||S|Mandato sindical||||S|S|S|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;721
25|Mulher vítima de violência - Art. 9º, § 2º, inciso II, da Lei 11.340/2006 - Lei Maria da Penha|01012014|||S|Mulher vítima de violência - Lei 11.340/2006|S|3|N|S|S|S|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
26|Participação de empregado no Conselho Nacional de Previdência Social - CNPS - Art. 3º da Lei 8.213/1991|01012014|||N|||||S|N|S|101;102;103;104;105;106;107;108;111
27|Qualificação - Afastamento por suspensão do contrato de acordo com o art. 476-A da CLT|01012014|||N|||||S|N|S|101;102;103;104;105;106;107;108;111
28|Representante sindical - Afastamento pelo tempo que se fizer necessário, quando, na qualidade de representante de entidade sindical, estiver participando de reunião oficial de organismo internacional do qual o Brasil seja membro|01012014|||N|||||N|N|N|101;102;103;104;105;106;107;108;111;301;302;303;304;305;306;307;308;309;310;311;312;313;314
29|Serviço militar - Afastamento temporário para prestar serviço militar obrigatório|01012014|||S|Serviço militar obrigatório|S|3|S|S|S|S|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
30|Suspensão disciplinar - Art. 474 da CLT|01012014|18072021||S|Suspensão disciplinar - Art. 474 da CLT|S|3|N|S|S|S|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
31|Servidor público em disponibilidade|01012014|||N|||||N|N|N|301;307;314
33|Licença maternidade - 180 dias, Lei 13.301/2016|01062016|18072021||S|Licença maternidade - 180 dias - Crianças com sequelas neurológicas por doenças transmitidas pelo Aedes aegypti|S|1|S|S|S|S|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
34|Inatividade do trabalhador avulso (portuário ou não portuário) por período superior a 90 dias|01012014|||N|||||N|N|N|201;202
35|Licença maternidade - Antecipação e/ou prorrogação mediante atestado médico|01072018|||S|Licença maternidade - Antecipação e/ou prorrogação mediante atestado médico|S|1|S|S|S|S|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
36|Afastamento temporário de exercente de mandato eletivo para cargo em comissão|10052021|||N|||||N|N|N|303;304
37|Suspensão temporária do contrato de trabalho nos termos da Lei 14.020/2020 (conversão da MP 936/2020)|01042020|31122020||S|Suspensão temporária do contrato de trabalho nos termos da Lei 14.020/2020 (conversão da MP 936/2020)|S|3|N|S|S|S|101;102;103;104;105;106;107;108;111
37|Suspensão temporária do contrato de trabalho nos termos do Programa Emergencial de Manutenção do Emprego e da Renda|28042021|25082021||S|Suspensão temporária do contrato de trabalho nos termos do Programa Emergencial de Manutenção do Emprego e da Renda|S|3|N|S|S|S|101;102;103;104;105;106;107;108;111
38|Impedimento de concorrência à escala para trabalho avulso|04042020|||N|||||N|N|N|201;202
39|Suspensão de pagamento de servidor público por não recadastramento|01012014|||N|||||N|N|N|101;301;302;303;304;305;306;307;308;309;310;311;312;313;314;410
40|Exercício em outro órgão de servidor ou empregado público cedido|01012014|||N|||||N|N|N|410
41|Qualificação - Afastamento por suspensão do contrato de acordo com o art. 15 da Lei 14.457/2022|05052022|||N|||||N|N|N|101;102;103;104;105;106;107;108;111
42|Qualificação - Afastamento por suspensão do contrato de acordo com o art. 17 da Lei 14.457/2022|05052022|||N|||||N|N|N|101;102;103;104;105;106;107;108;111
43|Licença Maternidade - Prorrogação por 60 dias, Lei 15.156/2025 - Criança com deficiência permanente decorrente de síndrome congênita associada ao vírus Zika|02072025|||S|Licença Maternidade - Prorrogação por 60 dias - Criança com deficiência permanente decorrente do vírus Zika|S|1|S|S|S|S|101;102;103;104;105;106;107;108;111;201;202;301;302;303;304;305;306;307;308;309;310;311;312;313;314;401;410;501;701;711;712;721;722;723;731;734;738;741;751;761;771;781;901;902;903;904;906
44|Suspensão contratual decorrente de ajuizamento de reclamação trabalhista pleiteando rescisão indireta do contrato|01012014|||S|Suspensão contratual decorrente de ajuizamento de rescisão indireta do contrato|S|3|N|S|S|S|101;102;103;104;105;106;107;108;111;301;302;303;304;305;306;307;308;309;310;311;312;313;314
45|Suspensão contratual para ajuizamento de inquérito para apuração de falta grave|01012014|||S|Suspensão contratual para ajuizamento de inquérito para apuração de falta grave|S|3|N|S|S|S|101;102;103;104;105;106;107;108;111;301;302;303;304;305;306;307;308;309;310;311;312;313;314
