CodCNAEMEI|Descricao|DtInicio|DtTermino|CodCNAE
2399101|Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal|01072016||2399101
2512800|Fabricação de esquadrias de metal|01072016||2512800
2532201|Produção de artefatos estampados de metal|01072016||2532201
2539001|Serviços de usinagem, tornearia e solda|01072016||2539001
2539002|Serviços de tratamento e revestimento em metais|01072016||2539002
2541100|Fabricação de artigos de cutelaria|01072016||2541100
2542000|Fabricação de artigos de serralheria, exceto esquadrias|01072016||2542000
2543800|Fabricação de ferramentas|01072016||2543800
2599301|Serviços de confecção de armações metálicas para a construção|01072016||2599301
2599399|Fabricação de outros produtos de metal não especificados anteriormente|01072016||2599399
2740602|Fabricação de luminárias e outros equipamentos de iluminação|01072016||2740602
2950600|Recondicionamento e recuperação de motores para veículos automotores|01072016||2950600
3101200|Fabricação de móveis com predominância de madeira|01072016||3101200
3102100|Fabricação de móveis com predominância de metal|01072016||3102100
3103900|Fabricação de móveis de outros materiais, exceto madeira e metal|01072016||3103900
3104700|Fabricação de colchões|01072016||3104700
3211601|Lapidação de gemas|01072016||3211601
3211602|Fabricação de artefatos de joalheria e ourivesaria|01072016||3211602
3211603|Cunhagem de moedas e medalhas|01072016||3211603
3212400|Fabricação de bijuterias e artefatos semelhantes|01072016||3212400
3220500|Fabricação de instrumentos musicais, peças e acessórios|01072016||3220500
3230200|Fabricação de artefatos para pesca e esporte|01072016||3230200
3240099|Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente|01072016||3240099
3291400|Fabricação de escovas, pincéis e vassouras|01072016||3291400
3292202|Fabricação de equipamentos e acessórios para segurança pessoal e profissional|01072016||3292202
3299001|Fabricação de guarda-chuvas e similares|01072016||3299001
3299002|Fabricação de canetas, lápis e outros artigos para escritório|01072016||3299002
3299003|Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos|01072016||3299003
3299004|Fabricação de painéis e letreiros luminosos|01072016||3299004
3299005|Fabricação de aviamentos para costura|01072016||3299005
3299006|Fabricação de velas, inclusive decorativas|01072016||3299006
3299099|Fabricação de produtos diversos não especificados anteriormente|01072016||3299099
3311200|Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos|01072016||3311200
3313901|Manutenção e reparação de geradores, transformadores e motores elétricos|01072016||3313901
3313902|Manutenção e reparação de baterias e acumuladores elétricos, exceto para veículos|01072016||3313902
3313999|Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente|01072016||3313999
3314701|Manutenção e reparação de máquinas motrizes não-elétricas|01072016||3314701
