CODIGO|DESCRICAO|DTINICIO|DTFIM|CODGRUPO|CODCBO|TPTRAB
eSocial-262|Supervisor de exploração agropecuária|01012014||620|620110|2
eSocial-263|Supervisor de exploração pecuária|01012014||620|620115|2
eSocial-264|Trabalhador agropecuário em geral|01012014||621|621005|2
eSocial-265|Trabalhador na produção de mudas e sementes|01012014||622|622015|2
eSocial-266|Trabalhador volante da agricultura|01012014||622|622020|2
eSocial-267|Trabalhador da cultura de arroz|01012014||622|622105|2
eSocial-268|Trabalhador da cultura de cana-de-açúcar|01012014||622|622110|2
eSocial-269|Trabalhador da cultura de milho e sorgo|01012014||622|622115|2
eSocial-270|Trabalhador da cultura de trigo, aveia, cevada e triticale|01012014||622|622120|2
eSocial-271|Trabalhador da cultura de algodão|01012014||622|622205|2
eSocial-272|Trabalhador da cultura de sisal|01012014||622|622210|2
eSocial-273|Trabalhador da cultura do rami|01012014||622|622215|2
eSocial-274|Trabalhador na olericultura (frutos e sementes)|01012014||622|622305|2
eSocial-275|Trabalhador na olericultura (legumes)|01012014||622|622310|2
eSocial-276|Trabalhador na olericultura (raízes, bulbos e tubérculos)|01012014||622|622315|2
eSocial-277|Trabalhador na olericultura (talos, folhas e flores)|01012014||622|622320|2
eSocial-278|Trabalhador no cultivo de flores e folhagens de corte|01012014||622|622405|2
eSocial-279|Trabalhador no cultivo de flores em vaso|01012014||622|622410|2
eSocial-280|Trabalhador no cultivo de forrações|01012014||622|622415|2
eSocial-281|Trabalhador no cultivo de mudas|01012014||622|622420|2
eSocial-282|Trabalhador no cultivo de plantas ornamentais|01012014||622|622425|2
eSocial-283|Trabalhador no cultivo de árvores frutíferas|01012014||622|622505|2
eSocial-284|Trabalhador no cultivo de espécies frutíferas rasteiras|01012014||622|622510|2
eSocial-285|Trabalhador no cultivo de trepadeiras frutíferas|01012014||622|622515|2
eSocial-286|Trabalhador da cultura de cacau|01012014||622|622605|2
eSocial-287|Trabalhador da cultura de café|01012014||622|622610|2
eSocial-288|Trabalhador da cultura de erva-mate|01012014||622|622615|2
eSocial-289|Trabalhador da cultura de fumo|01012014||622|622620|2
eSocial-290|Trabalhador da cultura de guaraná|01012014||622|622625|2
eSocial-291|Trabalhador na cultura de amendoim|01012014||622|622705|2
eSocial-292|Trabalhador na cultura de canola|01012014||622|622710|2
eSocial-293|Trabalhador na cultura de coco-da-baía|01012014||622|622715|2
eSocial-294|Trabalhador na cultura de dendê|01012014||622|622720|2
eSocial-295|Trabalhador na cultura de mamona|01012014||622|622725|2
eSocial-296|Trabalhador na cultura de soja|01012014||622|622730|2
eSocial-297|Trabalhador na cultura do girassol|01012014||622|622735|2
eSocial-298|Trabalhador na cultura do linho|01012014||622|622740|2
eSocial-299|Trabalhador da cultura de especiarias|01012014||622|622805|2
eSocial-300|Trabalhador da cultura de plantas aromáticas e medicinais|01012014||622|622810|2
eSocial-301|Adestrador de animais|01012014||623|623005|2
eSocial-302|Inseminador|01012014||623|623010|2
eSocial-303|Trabalhador de pecuária polivalente|01012014||623|623015|2
eSocial-304|Tratador de animais|01012014||623|623020|2
eSocial-305|Trabalhador da pecuária (asininos e muares)|01012014||623|623105|2
eSocial-306|Trabalhador da pecuária (bovinos corte)|01012014||623|623110|2
eSocial-307|Trabalhador da pecuária (bovinos leite)|01012014||623|623115|2
eSocial-308|Trabalhador da pecuária (bubalinos)|01012014||623|623120|2
eSocial-309|Trabalhador da pecuária (eqüinos)|01012014||623|623125|2
eSocial-310|Trabalhador da caprinocultura|01012014||623|623205|2
eSocial-311|Trabalhador da ovinocultura|01012014||623|623210|2
eSocial-312|Trabalhador da suinocultura|01012014||623|623215|2
eSocial-313|Trabalhador da avicultura de corte|01012014||623|623305|2
eSocial-314|Trabalhador da avicultura de postura|01012014||623|623310|2
eSocial-315|Operador de incubadora|01012014||623|623315|2
eSocial-316|Trabalhador da cunicultura|01012014||623|623320|2
eSocial-317|Sexador|01012014||623|623325|2
eSocial-318|Trabalhador em criatórios de animais produtores de veneno|01012014||623|623405|2
eSocial-319|Trabalhador na apicultura|01012014||623|623410|2
eSocial-320|Trabalhador na minhocultura|01012014||623|623415|2
eSocial-321|Trabalhador na sericicultura|01012014||623|623420|2
eSocial-322|Supervisor da aqüicultura|01012014||630|630105|2
eSocial-323|Supervisor da área florestal|01012014||630|630110|2
eSocial-324|Catador de caranguejos e siris|01012014||631|631005|2
eSocial-325|Catador de mariscos|01012014||631|631010|2
eSocial-326|Pescador artesanal de lagostas|01012014||631|631015|2
eSocial-327|Pescador artesanal de peixes e camarões|01012014||631|631020|2
eSocial-328|Pescador artesanal de água doce|01012014||631|631105|2
eSocial-329|Pescador industrial|01012014||631|631205|2
eSocial-330|Pescador profissional|01012014||631|631210|2
eSocial-331|Criador de camarões|01012014||631|631305|2
eSocial-332|Criador de jacarés|01012014||631|631310|2
eSocial-333|Criador de mexilhões|01012014||631|631315|2
eSocial-334|Criador de ostras|01012014||631|631320|2
eSocial-335|Criador de peixes|01012014||631|631325|2
eSocial-336|Criador de quelônios|01012014||631|631330|2
eSocial-337|Criador de rãs|01012014||631|631335|2
eSocial-338|Gelador industrial|01012014||631|631405|2
eSocial-339|Gelador profissional|01012014||631|631410|2
eSocial-340|Proeiro|01012014||631|631415|2
eSocial-341|Redeiro (pesca)|01012014||631|631420|2
eSocial-342|Guia florestal|01012014||632|632005|2
eSocial-343|Raizeiro|01012014||632|632010|2
eSocial-344|Viveirista florestal|01012014||632|632015|2
eSocial-345|Classificador de toras|01012014||632|632105|2
eSocial-346|Cubador de madeira|01012014||632|632110|2
eSocial-347|Identificador florestal|01012014||632|632115|2
eSocial-348|Operador de motosserra|01012014||632|632120|2
eSocial-349|Trabalhador de extração florestal, em geral|01012014||632|632125|2
eSocial-350|Seringueiro|01012014||632|632205|2
eSocial-351|Trabalhador da exploração de espécies produtoras de gomas não elásticas|01012014||632|632210|2
eSocial-352|Trabalhador da exploração de resinas|01012014||632|632215|2
eSocial-353|Trabalhador da exploração de andiroba|01012014||632|632305|2
eSocial-354|Trabalhador da exploração de babaçu|01012014||632|632310|2
eSocial-355|Trabalhador da exploração de bacaba|01012014||632|632315|2
eSocial-356|Trabalhador da exploração de buriti|01012014||632|632320|2
eSocial-357|Trabalhador da exploração de carnaúba|01012014||632|632325|2
eSocial-358|Trabalhador da exploração de coco-da-praia|01012014||632|632330|2
eSocial-359|Trabalhador da exploração de copaíba|01012014||632|632335|2
eSocial-360|Trabalhador da exploração de malva (pãina)|01012014||632|632340|2
eSocial-361|Trabalhador da exploração de murumuru|01012014||632|632345|2
eSocial-362|Trabalhador da exploração de oiticica|01012014||632|632350|2
eSocial-363|Trabalhador da exploração de ouricuri|01012014||632|632355|2
eSocial-364|Trabalhador da exploração de pequi|01012014||632|632360|2
eSocial-365|Trabalhador da exploração de piaçava|01012014||632|632365|2
eSocial-366|Trabalhador da exploração de tucum|01012014||632|632370|2
eSocial-367|Trabalhador da exploração de açaí|01012014||632|632405|2
eSocial-368|Trabalhador da exploração de castanha|01012014||632|632410|2
eSocial-369|Trabalhador da exploração de pinhão|01012014||632|632415|2
eSocial-370|Trabalhador da exploração de pupunha|01012014||632|632420|2
eSocial-371|Trabalhador da exploração de árvores e arbustos produtores de substâncias aromát. medic. e tóxicas|01012014||632|632505|2
eSocial-372|Trabalhador da exploração de cipós produtores de substâncias aromáticas, medicinais e tóxicas|01012014||632|632510|2
eSocial-373|Trabalhador da exploração de madeiras tanantes|01012014||632|632515|2
eSocial-374|Trabalhador da exploração de raízes produtoras de substâncias aromáticas, medicinais e tóxicas|01012014||632|632520|2
eSocial-375|Trabalhador da extração de substâncias aromáticas, medicinais e tóxicas, em geral|01012014||632|632525|2
eSocial-376|Carvoeiro|01012014||632|632605|2
eSocial-377|Carbonizador|01012014||632|632610|2
eSocial-378|Ajudante de carvoaria|01012014||632|632615|2
eSocial-379|Condutor de veículos de tração animal (ruas e estradas)|01012014||782|782805|2
eSocial-380|Tropeiro|01012014||782|782810|2
eSocial-381|Boiadeiro|01012014||782|782815|2
