Processo|NumeroInscricao|DtInicio|DtFim
1711060023551011|01226768000140|01012018|
1711060023552011|08419673000192|01012018|
1711060023553011|10407005000197|01012018|
1711060023554011|41037250000183|01012018|
1711070023555021|61412110052384|01012018|
1711010023556011|88674080000101|01012018|
1711070023557011|64700735000291|01012018|
1711070023558011|47881602000169|01012018|
1711070023559011|92190503000195|01012018|
1711070023561011|59280685000209|01012018|
1711070023562021|05677591000311|01012018|
1711070023560021|05677591001636|01012018|
1711070023563011|05677591002284|01012018|
1711070023564011|05677591002527|01012018|
1711070023565011|03069071000139|01012018|
1711060023566011|49219538000180|01012018|
1711070023567011|07158073001399|01012018|
1711030023568011|07158073000155|01012018|
1711070023569011|61506481000104|01012018|
1711070023570011|61506481002735|01012018|
1711070023572011|61506481001844|01012018|
1711070023573011|06313226000129|01012018|
1711060023575011|60881992000135|01012018|
1711070023576011|04287849000149|01012018|
1711070023577011|60870847000159|01012018|
1711070023578011|59105999000348|01012018|
1711070023579011|07981751000185|01012018|
1711070023580011|60480746000171|01012018|
1711070023581011|70940994005170|01012018|
1711070023582011|08910541001483|01012018|
1711070023583011|65628950000100|01012018|
1711070023589011|59106666001577|01012018|
1711080023590011|03801629000200|01012018|
1711080023591011|01497282000147|01012018|
1711080023592011|29060647000190|01012018|
1711080023593011|13714612000198|01012018|
1711080023594011|02851704000101|01012018|
1711080023596011|02143616000813|01012018|
1711080023598011|59105999003959|01012018|
1711020023599011|33115726000129|01012018|
1711060023600011|05440065000171|01012018|
1711080023601011|76061480000162|01012018|
1711080023602011|19881671000137|01012018|
1711080023603011|10904181000134|01012018|
1711080023604011|07063925000120|01012018|
1711080023605011|90816133000123|01012018|
1711010023607011|05050395000150|01012018|
1711080023608011|08299507000108|01012018|
1711080023610011|21000468001047|01012018|
1711080023613011|06176436000112|01012018|
1711080023614011|59105999005650|01012018|
1711080023617011|59105999005730|01012018|
1711080023618011|61413282000143|01012018|
1711080023619011|61413282000739|01012018|
1711080023620011|02183510000177|01012018|
1711080023621011|61413282001620|01012018|
1711080023622011|61413282001972|01012018|
1711080023623011|61413282003088|01012018|
1711080023625011|33022203000138|01012018|
1711080023626011|76814284000111|01012018|
1711080023595021|08677372000169|01012018|
1711080023627011|28127603002626|01012018|
1711010023628011|04882084000195|01012018|
1711080023624021|46151130000126|01012018|
1711080023629011|92341312000187|01012018|
1711080023630011|12226693000114|01012018|
1711080023631011|00348003012399|01012018|
1711080023632011|95610887000146|01012018|
1711070023634011|10375387000114|01012018|
1711080023636011|88104328001332|01012018|
1711080023637011|88104328000107|01012018|
1711080023639011|04970016000188|01012018|
1711010023640011|02359209000171|01012018|
1711010023643011|17161936000873|01012018|
1711010023417021|71385637000191|01012018|
1711010023644021|71385637000949|01012018|
1711010023645011|02728677000176|01012018|
1711090023646011|00165960001850|01012018|
1711090023647011|07424099000106|01012018|
1711090023649011|82901000001280|01012018|
1711090023652011|61602199003723|01012018|
1711090023655011|31702947000410|01012018|
1711010023657011|76483817000120|01012018|
1711090023658011|74404229000128|01012018|
1711090023662011|50931310000106|01012018|
1711060023663011|95428231001936|01012018|
1711090023664011|74652090000131|01012018|
1711090023665011|88618285000412|01012018|
1711070023666011|92411974000186|01012018|
1711090023667011|21100821000170|01012018|
1711090023668011|50949528000180|01012018|
1711090023669011|50949528000856|01012018|
1711020023670011|59104273000129|01012018|
1711070023671011|59104273001443|01012018|
1711070023571021|61506481010916|01012018|
1711090023672011|58900754000188|01012018|
1711070023673011|59104273003730|01012018|
1711060023674011|61150751000260|01012018|
1711090023675011|46958948000155|01012018|
1711090023676011|91155259000671|01012018|
1711090023677011|61160438000806|01012018|
1711090023678011|45070190000232|01012018|
1711090023679011|03279946000399|01012018|
1711090023680011|18304758000189|01012018|
1711090023681011|45070190000828|01012018|
1711070023682011|59106666000171|01012018|
1711090023683011|12613006000113|01012018|
1711090023684011|09250085000130|01012018|
1711090023685011|00171428000105|01012018|
1711090023686011|09379165000190|01012018|
1711090023687011|01401630000130|01012018|
1711090023688011|01401630000211|01012018|
1711090023689011|01401630000483|01012018|
1711060023690011|00005275000118|01012018|
1711090023691011|09507195000135|01012018|
1711100023692011|46721551000145|01012018|
1711100023693011|02118664000185|01012018|
1711080023694011|26232744000125|01012018|
1711080023695011|01080385000107|01012018|
1711100023696011|37630118000537|01012018|
1711100023697011|37630118000103|01012018|
1711100023700011|76622968000111|01012018|
1711060023701011|12393289000135|01012018|
1711100023702011|03279946000127|01012018|
1711100023703021|02068925000108|01012018|
1711090023704011|92782705000126|01012018|
1711100023705011|79667655000178|01012018|
1711100023706011|07600720000137|01012018|
1711010023707011|57373375000203|01012018|
1711100023708011|71522460000128|01012018|
1711100023709011|00694303000151|01012018|
1711010023710011|76767219000263|01012018|
1711010023716011|08471163000750|01012018|
1711010023718011|55905350000199|01012018|
1711100023721011|09103964000130|01012018|
1711100023728011|09103964000482|01012018|
1711100023729011|90467150000445|01012018|
1711100023730011|84584515000176|01012018|
1711100023731011|95597571000242|01012018|
1711130023732011|83050278000109|01012018|
1711010023733011|84512037000199|01012018|
1711070023734011|05268526000847|01012018|
1711090023735011|51169555000100|01012018|
1711130023736011|84043009000170|01012018|
1711130023737011|83305052000101|01012018|
1711130023738011|74606583000135|01012018|
1711130023740011|78616760000115|01012018|
1711130023741011|83102491000109|01012018|
1711130023739021|83310441006662|01012018|
1711130023742011|07204686000181|01012018|
1711130023743011|02521510000130|01012018|
1711010023744041|00453469000500|01012018|
1711100023745011|82745886000248|01012018|
1711130023746011|03208166000196|01012018|
1711090023747011|89238133000104|01012018|
1711130023748011|43251230000306|01012018|
1711130023749011|61105474000192|01012018|
1711130023751011|72115025000141|01012018|
1711090023752011|05268526000251|01012018|
1711130023753011|72256654000191|01012018|
1711030023754011|89850341000160|01012018|
1711060023755011|08636452001300|01012018|
1711100023756011|03490958000104|01012018|
1711060023757011|08636452002039|01012018|
1711060023759011|08636452002705|01012018|
1711130023760011|08636452000923|01012018|
1711130023758021|73946238000188|01012018|
1711130023761011|08636452001814|01012018|
1711130023762011|08636452001903|01012018|
1711060023763011|62367032000187|01012018|
1711130023750031|96713839000146|01012018|
1711130023765011|08636452003000|01012018|
1711130023766011|63699839000180|01012018|
1711130023768011|60985017000177|01012018|
1711130023769011|00831373003715|01012018|
1711130023770011|81604803000157|01012018|
1711080023771011|09426032000128|01012018|
1711130023772011|09641520000158|01012018|
1711130023773011|00831373007117|01012018|
1711090023774011|73511735000153|01012018|
1711130023775011|02405085000113|01012018|
1711140023776011|65573776000146|01012018|
1711140023777011|98513187000474|01012018|
1711140023778011|05309751000108|01012018|
1711130023779011|01526169000142|01012018|
1711140023780011|15579674000160|01012018|
1711140023782011|03620142000140|01012018|
1711140023783011|19158435000197|01012018|
1711130023781021|82891805000137|01012018|
1711140023784011|61576369000131|01012018|
1711140023785011|60501707000103|01012018|
1711140023786011|02750009000145|01012018|
1711130023767031|73946204000193|01012018|
1711130023787011|60880416000173|01012018|
1711140023788021|51332203000116|01012018|
1711140023790011|01838723025111|01012018|
1711060023789021|01838723024140|01012018|
1711140023791011|01838723024816|01012018|
1711140023792011|21228861000100|01012018|
