CODIGO|DESCRICAO|DTINICIO|DTFIM|IDTPEVENTO|TAGTPEVENT|IDENTIFIC|INDCHDUPL|INDEXCL|CLASSTRIB|NCLASSTRI|OBRIG_WEB_DOM|OBRIG_LR|OBRIG_ORGP|OBRIG_GRUPO_2|OBRIG_DEFAULT_PF|OBRIG_DEFAULT_PJ
S-2306|Trabalhador Sem Vínculo de Emprego/Estatutário - Alteração Contratual|01012014||61|evtTSVAltContr|TRABALHADOR_SEM_VINCULO|0|1|||01102015|01032018|22112021|10102018|10042019|10042019
S-2399|Trabalhador Sem Vínculo de Emprego/Estatutário - Término|01012014||62|evtTSVTermino|TRABALHADOR_SEM_VINCULO|0|1|||01102015|01032018|22112021|10102018|10042019|10042019
S-2400|Cadastro de Beneficiário - Entes Públicos - Início|22112021||63|evtCdBenefIn|TRABALHADOR|0|1|||22112021|22112021|22112021|22112021|22112021|22112021
S-2405|Cadastro de Beneficiário - Entes Públicos - Alteração|22112021||64|evtCdBenefAlt|TRABALHADOR|0|1|||22112021|22112021|22112021|22112021|22112021|22112021
S-2410|Cadastro de Benefício - Entes Públicos - Início|22112021||65|evtCdBenIn|BENEFICIO|0|1|||22112021|22112021|22112021|22112021|22112021|22112021
S-2416|Cadastro de Benefício - Entes Públicos - Alteração|22112021||66|evtCdBenAlt|BENEFICIO|0|1|||22112021|22112021|22112021|22112021|22112021|22112021
S-2418|Reativação de Benefício - Entes Públicos|22112021||67|evtReativBen|BENEFICIO|0|1|||22112021|22112021|22112021|22112021|22112021|22112021
S-2420|Cadastro de Benefício - Entes Públicos - Término|22112021||68|evtCdBenTerm|BENEFICIO|0|1|||22112021|22112021|22112021|22112021|22112021|22112021
S-2500|Processo Trabalhista|01102023||83|evtProcTrab|TRABALHADOR|0|1|||01102023|01102023|01102023|01102023|01102023|01102023
S-2501|Informações de Tributos Decorrentes de Processo Trabalhista|01102023||84|evtContProc|INDEFINIDO|0|1|||01102023|01102023|01102023|01102023|01102023|01102023
S-2555|Solicitação de Consolidação das Informações de Tributos Decorrentes de Processo Trabalhista|02022024||86|evtConsolidContProc|INDEFINIDO|0|1|||02022024|02022024|02022024|02022024|02022024|02022024
S-3000|Exclusão de Eventos|01012014||95|evtExclusao|INDEFINIDO|0|0|||01102015|01032018|22112021|10102018|10042019|10042019
S-3500|Exclusão de Eventos - Processo Trabalhista|01102023||98|evtExcProcTrab|INDEFINIDO|0|0|||01102023|01102023|01102023|01102023|01102023|01102023
S-5001|Informações das Contribuições Sociais por Trabalhador|01012014||91|evtBasesTrab|INDEFINIDO|0|0|||01102015|01052018|01082022|01012019|01072021|01052021
S-5002|Imposto de Renda Retido na Fonte por Trabalhador|01012014||93|evtIrrfBenef|INDEFINIDO|0|0|||01102015|01052018|01082022|01012019|01072021|01052021
S-5003|Informações do FGTS por Trabalhador|01052018||96|evtBasesFGTS|INDEFINIDO|0|0|||21012019|21012019|01082022|21012019|01072021|01052021
S-5011|Informações das Contribuições Sociais Consolidadas por Contribuinte|01012014||92|evtCS|INDEFINIDO|0|0|||01102015|01052018|01082022|01012019|01072021|01052021
S-5012|Informações do IRRF Consolidadas por Contribuinte|01012014||94|evtIrrf|INDEFINIDO|0|0|||01102015|01052018|01082022|01012019|01072021|01052021
S-5013|Informações do FGTS Consolidadas por Contribuinte|01052018||97|evtFGTS|INDEFINIDO|0|0|||21012019|21012019|01082022|21012019|01072021|01052021
S-5501|Informações Consolidadas de Tributos Decorrentes de Processo Trabalhista|01102023||85|evtTribProcTrab|INDEFINIDO|0|0|||01102023|01102023|01102023|01102023|01102023|01102023
S-5503|Evento Bases FGTS por Trabalhador em Processo Trabalhista|20112023||99|evtFGTSProcTrab|INDEFINIDO|0|0|||01102023|01102023|01102023|01102023|01102023|01102023
S-8200|Anotação Judicial do Vínculo|20112023||38|evtAnotJud|VINCULO_TRABALHISTA|0|1|||20112023|20112023|20112023|20112023|20112023|20112023
S-8299|Baixa Judicial do Vínculo|24092019||82|evtBaixa|VINCULO_TRABALHISTA|0|1|||24092019|24092019|01082022|24092019|24092019|24092019
