CODIGO|DESCRICAO|DTINICIO|DTFIM|tpLotacao|tpInsc|nrInsc|fpas|codTercs|CATEGIGUAL|CATEGDIF
eSocial-001|Lotação Tributária do Empregado Doméstico|01012014||24|||868|0000|104|
eSocial-002|Lotação Tributária para Trabalhador Rural do Segurado Especial|01012014||21|||604|003|101;102|
