CODIGO|DESCRICAO|DTINICIO|DTFIM
0129|Ácido tioglicólico|01012014|
0130|Ácido trans, trans-mucônico|01012014|
0131|Ácido trans-3-(2,2-diclorovinil)-2,2-dimetilciclopropanocarboxilico|01012014|
0132|Ácido trans-crisantemum-dicarboxilico|01012014|
0133|Ácido tricloroacético|01012014|
0134|Ácido trifluoroacético|01012014|
0135|Ácido úrico|01012014|
0136|Ácido valproico|01012014|
0137|Ácido vanilmandélico (VMA)|01012014|
0138|Ácido ß-hidroxietoxi acético|01012014|
1400|Ácidos biliares|01012014|
0139|Ácidos graxos livres|01012014|
0140|Ácidos orgânicos (perfil quantitativo)|01012014|
0141|Acilcarnitinas (perfil qualitativo)|01012014|
1401|Acilcarnitinas (perfil quantitativo)|01012014|
0142|Actinobacillus (pesquisa)|01012014|
0143|Actinomadura (pesquisa)|01012014|
0144|Actinomyces (pesquisa)|01012014|
0145|Adenilatoquinase|01012014|
0146|Adenovírus - IgG|01012014|
0147|Adenovírus - IgM|01012014|
0148|Adrenocorticotrófico, hormônio (ACTH)|01012014|
0149|Adutos de DNA (pesquisa)|01012014|
0150|Adutos de proteínas (pesquisa)|01012014|
0151|Aflatoxinas (pesquisa)|01012014|
0152|Agente da doença crônica emaciante (pesquisa)|01012014|
0153|Agente da doença de Creutzfeldt-Jakob esporádica (pesquisa)|01012014|
0154|Agente da doença de Creutzfeldt-Jakob familiar (pesquisa)|01012014|
0155|Agente da doença de Creutzfeldt-Jakob iatrogênica (pesquisa)|01012014|
0156|Agente da doença de Creutzfeldt-Jakob variante (pesquisa)|01012014|
0157|Agente da encefalopatia espongiforme bovina (BSE) (pesquisa)|01012014|
0158|Agente da encefalopatia espongiforme bovina tipo-H (pesquisa)|01012014|
0159|Agente da encefalopatia espongiforme em ungulados exóticos (pesquisa)|01012014|
0160|Agente da encefalopatia espongiforme felina (pesquisa)|01012014|
0161|Agente da insônia fatal esporádica (pesquisa)|01012014|
0162|Agente da insônia fatal familiar de Gerstmann-Sträussler-Scheinker (pesquisa)|01012014|
0163|Agente da Kuru (pesquisa)|01012014|
0164|Agente da prionopatia variante protease-resistente (pesquisa)|01012014|
0165|Agente do tremor epizoótico (scrapie disease) (pesquisa)|01012014|
0166|Agente do tremor epizoótico (scrapie disease) atípico (pesquisa)|01012014|
0167|Ajellomyces (pesquisa)|01012014|
0168|Albumina|01012014|
0169|Albumina S-metilcisteína|01012014|
0170|Alcaligenes (pesquisa)|01012014|
0171|Alcaptonúria|01012014|
0172|Aldolase|01012014|
0173|Aldosterona|01012014|
0174|Alérgenos - Perfil antigênico (painel C/36 antígenos)|01012014|
0176|Alfa-1-antitripsina, dosagem no soro|01012014|
0177|Alfa-1-glicoproteína ácida|01012014|
0175|Alfa-1-microglobulina na urina|01012014|
0178|Alfa-2-antiplasmina, teste funcional|01012014|
0179|Alfa-2-macroglobulina|01012014|
0180|Alfa-amilase|01012014|
0181|Alfa-fetoproteína|01012014|
0182|Alfa-hexaclorociclo-hexano|01012014|
0183|Alumínio plasmático|01012014|
0184|Alumínio urinário|01012014|
0185|Amebíase - IgG|01012014|
0186|Amebíase - IgM|01012014|
0187|Amilase|01012014|
0188|Aminoácidos, fracionamento e quantificação|01012014|
0189|Amiodarona|01012014|
0190|Amitriptilina|01012014|
0191|Amônia|01012014|
0192|AMP cíclico|01012014|
0193|Ancylostoma (pesquisa)|01012014|
0194|Androstenediona|01012014|
0195|Anfetaminas|01012014|
0196|Angiostrongylus (pesquisa)|01012014|
0197|Anilina sanguínea|01012014|
0198|Anilina urinária|01012014|
0199|Anilina-hemoglobina|01012014|
0200|Anisakis (pesquisa)|01012014|
0201|Anti-12-hidroxi-endrin urinário|01012014|
0202|Anti-actina|01012014|
0203|Antibiograma|01012014|
0204|Antibióticos, dosagem no soro|01012014|
0205|Anticandida - IgG e IgM|01012014|
0206|Anticardiolipina - IgA|01012014|
0207|Anticardiolipina - IgG|01012014|
0208|Anticardiolipina - IgM|01012014|
0209|Anticentrômero|01012014|
0210|Anticoagulante lúpico|01012014|
0211|Anticorpo anti A e B|01012014|
0212|Anticorpo anti saccharamyces - ASCA|01012014|
0213|Anticorpo anti-DNAse B|01012014|
0214|Anticorpo anti-hormônio do crescimento|01012014|
0215|Anticorpo antimieloperoxidase, MPO|01012014|
0216|Anticorpo anti-receptor de TSH (TRAB)|01012014|
0217|Anticorpo antivírus da hepatite E|01012014|
0218|Anticorpos antiendomisio - IgG, IgM, IgA|01012014|
0219|Anticorpos anti-ilhota de langherans|01012014|
0220|Anticorpos anti-influenza A - IgG|01012014|
0221|Anticorpos anti-influenza A - IgM|01012014|
0222|Anticorpos anti-influenza B - IgG|01012014|
0223|Anticorpos anti-influenza B - IgM|01012014|
0224|Anticorpos antiinsulina|01012014|
0225|Anticorpos antiplaquetários, citometria de fluxo|01012014|
0226|Anticorpos antitireoide (tireoglobulina)|01012014|
0227|Anticorpos irregulares|01012014|
1402|Anticorpos naturais - Isoaglutininas|01012014|
0228|Anticortex supra-renal|01012014|
0229|Antidesoxiribonuclease B|01012014|
0230|Anti-DMP|01012014|
0231|Anti-DNA|01012014|
0232|Antiescleroderma|01012014|
0233|Antifígado|01012014|
0235|Antígeno carcinoembriogênico (CEA)|01012014|
0236|Antígeno de diferenciação celular|01012014|
0237|Antígeno específico prostático livre (PSA livre)|01012014|
0238|Antígeno específico prostático total (PSA)|01012014|
0239|Antígenos fúngicos, pesquisa|01012014|
0240|Antígenos metílicos solúveis do BCG|01012014|
0241|Antigliadina (glúten) - IgA|01012014|
0242|Antigliadina (glúten) - IgG|01012014|
0243|Antigliadina (glúten) - IgM|01012014|
0244|Anti-hialuronidase|01012014|
0245|Anti-JO1|01012014|
0246|Anti-LA/SSB|01012014|
0247|Anti-LKM-1|01012014|
0248|Antimembrana basal|01012014|
0249|Antimicrossomal|01012014|
0250|Antimitocondria|01012014|
0251|Antimitocondria, M2|01012014|
0252|Antimônio urinário|01012014|
0253|Antimúsculo cardíaco|01012014|
0254|Antimúsculo estriado|01012014|
0255|Antimúsculo liso|01012014|
0256|Antineutrófilos (anca) C|01012014|
0257|Antineutrófilos (anca) P|01012014|
0258|Antiparietal|01012014|
0259|Antiperoxidase tireoideana|01012014|
0260|Anti-RNP|01012014|
0261|Anti-Ro/SSA|01012014|
0262|Anti-Sm|01012014|
0263|Anti-TPO|01012014|
0264|Antitrombina III|01012014|
0265|Antrax (pesquisa)|01012014|
0266|Apolipoproteína A (Apo A)|01012014|
0267|Apolipoproteína B (Apo B)|01012014|
0268|Apolipoproteína E|01012014|
0270|Arcanobacterium (pesquisa)|01012014|
0271|Arsênico +III urinário|01012014|
0272|Arsênico +V urinário|01012014|
0273|Arsênico capilar|01012014|
0274|Arsênico inorgânico urinário|01012014|
1433|Arsênico sanguíneo|01012014|
0275|Arsênio - Metabólitos metilados urinários|01012014|
0276|Ascaris (pesquisa)|01012014|
0277|Aslo|01012014|
0278|Aspergillus (pesquisa)|01012014|
0279|Aspergilus, reação sorológica|01012014|
0280|Ativador tissular de plasminogênio (TPA)|01012014|
0282|Audiometria de tronco cerebral (PEA) BERA|01012014|
0283|Audiometria tonal limiar com testes de discriminação|01012014|
0281|Audiometria tonal ocupacional|01012014|
0284|Audiometria vocal - Pesquisa de limiar de discriminação|01012014|
0285|Audiometria vocal - Pesquisa de limiar de inteligibilidade|01012014|
0286|Avaliação clínica com ênfase cardiocirculatória (anamnese e exame físico)|01012014|
0287|Avaliação clínica com ênfase dermatológica (anamnese e exame físico)|01012014|
0288|Avaliação clínica com ênfase gastrointestinal (anamnese e exame físico)|01012014|
0289|Avaliação clínica com ênfase mental (anamnese e exame físico)|01012014|
0290|Avaliação clínica com ênfase neurológca (anamnese e exame físico)|01012014|
0291|Avaliação clínica com ênfase neurossensorial (anamnese e exame físico)|01012014|
0292|Avaliação clínica com ênfase ortopédica (anamnese e exame físico)|01012014|
0293|Avaliação clínica com ênfase respiratória (anamnese e exame físico)|01012014|
0294|Avaliação clínica com ênfase urogenital (anamnese e exame físico)|01012014|
0295|Avaliação clínica ocupacional (anamnese e exame físico)|01012014|
0296|Avaliação da acuidade visual|01012014|
0297|Avaliação da estereopsia|01012014|
0298|Avaliação da visão de cores|01012014|
0299|Avaliação do campo visual|01012014|
0300|Avaliação psicossocial|01012014|
0301|Azida sódica, teste da|01012014|
0302|B.A.A.R. (Ziehl ou fluorescência)|01012014|
0303|Babesia (pesquisa)|01012014|
0304|Bacillus (pesquisa)|01012014|
0305|Bacterioscopia|01012014|
0306|Bacteroides (pesquisa)|01012014|
0307|Balantidium (pesquisa)|01012014|
0308|Barbitúricos, antidepressivos tricíclicos|01012014|
0309|Bário urinário|01012014|
0310|Bartituratos|01012014|
0311|Bartonella (pesquisa)|01012014|
0312|Benzeno urinário|01012014|
0313|Benzidina eritrocitária|01012014|
0314|Benzidina urinária|01012014|
0315|Benzodiazepínicos e similares|01012014|
1434|Berílio sanguíneo|01012014|
0316|Berílio urinário|01012014|
0317|Beta mercapto-lactato-disulfidúria|01012014|
0318|Beta-2-microglobulina|01012014|
0319|Beta-glicuronidase|01012014|
0320|Beta-hexaclorociclo-hexano|01012014|
0321|Bilirrubinas (direta, indireta e total)|01012014|
0322|Biotinidase atividade|01012014|
0323|Bisfenol A (4,4-isopropiledenedifenol)|01012014|
0324|Bismuto plasmático|01012014|
0325|Bismuto urinário|01012014|
0326|Blastocystis (pesquisa)|01012014|
0327|Blastomicose, reação sorológica|01012014|
0328|Blastomyces (pesquisa)|01012014|
0329|Bocavírus humano (pesquisa)|01012014|
0330|Boro|01012014|
0331|Borrelia (pesquisa)|01012014|
0332|Brachispira (pesquisa)|01012014|
0333|Brometo|01012014|
0334|Bromofós sanguíneo|01012014|
0335|Bromofós urinário|01012014|
0336|Brucela - IgG|01012014|
0337|Brucela - IgM|01012014|
0338|Brucela, prova rápida|01012014|
0339|Brucella (pesquisa)|01012014|
0340|Brugia (pesquisa)|01012014|
0341|Bunyavírus germiston (pesquisa)|01012014|
0342|Burkholderia (pesquisa)|01012014|
0343|Buta-2-ona|01012014|
0344|Butanol sanguíneo|01012014|
1429|Butilcolinesterase no plasma ou soro|01012014|
0345|C1q|01012014|
0346|C3 proativador|01012014|
0347|C3A (fator B)|01012014|
0348|CA 50|01012014|
0349|CA-242|01012014|
0350|CA-27-29|01012014|
0351|Cádmio sanguíneo|01012014|
0352|Cádmio urinário|01012014|
0353|Cálcio|01012014|09022023
0354|Cálcio iônico|01012014|
1435|Cálcio sanguíneo|01012014|
1436|Cálcio urinário|01012014|
0355|Calcitonina|01012014|
0356|Campylobacter (pesquisa)|01012014|
0357|Campylobacter (pesquisa)|01012014|
0358|Candida (pesquisa)|01012014|
0359|Capacidade de fixação de ferro|01012014|
0360|Capillaria (pesquisa)|01012014|
0362|Carbamazepina|01012014|
0361|Carbendazim|01012014|
0363|Carbofuranfenol|01012014|
0364|Carboxihemoglobina|01012014|
0365|Cardiobacterium (pesquisa)|01012014|
0366|Carnitina livre|01012014|
0367|Carnitina total e frações|01012014|
0368|Caroteno|01012014|
0369|Catecolaminas|01012014|
0370|Catecolaminas fracionadas - Dopamina, epinefrina, norepinefrina na urina|01012014|
0371|Caxumba - IgG|01012014|
0372|Caxumba - IgM|01012014|
0373|CEE vírus, pesquisa|01012014|
0374|Células LE|01012014|
0375|Ceruloplasmina|01012014|
0376|Césio urinário|01012014|
0377|Chagas - IgG|01012014|
0378|Chagas - IgM|01012014|
0379|Chlamydia - IgG|01012014|
0380|Chlamydia - IgM|01012014|
0381|Chlamydia, cultura|01012014|
0382|Chlamydophila (pesquisa)|01012014|
0383|Chlormequat|01012014|
0384|Chumbo dietila|01012014|
0385|Chumbo sanguíneo|01012014|
0386|Chumbo total|01012014|
0387|Chumbo urinário|01012014|
0388|Cianeto (cianureto) sanguíneo|01012014|
0389|Ciclofosfamida|01012014|
0390|Ciclo-hexanodiol|01012014|
0391|Ciclo-hexanol|01012014|
0392|Ciclosporina|01012014|
0393|Cisticercose, AC|01012014|
0394|Cistinúria|01012014|
0395|cis-d4 tetrahidroftalimida (THPI)|01012014|
0396|Citomegalovírus - shell vial|01012014|
0397|Citomegalovírus - IgG|01012014|
0398|Citomegalovírus - IgM|01012014|
1437|Citopatologia|01012014|
0399|Cladophialophora (pesquisa)|01012014|
0400|Cladosporium (pesquisa)|01012014|
0401|Clamídia, pesquisa|01012014|
0402|Clearance de ácido úrico|01012014|
0403|Clearance de creatinina|01012014|
0404|Clearance de fosfato|01012014|
0405|Clearance de ureia|01012014|
0406|Clearance osmolar|01012014|
0407|Clomipramina|01012014|
0408|Clonorchis (pesquisa)|01012014|
0409|Cloreto de metileno sanguíneo|01012014|
0410|Cloro|01012014|
0411|Clorofenol|01012014|
0412|Clorofórmio|01012014|
0413|Clostridium (pesquisa)|01012014|
0414|Clostridium difficile, toxina A|01012014|
0415|Coagulograma|01012014|
0416|Cobalto sanguíneo|01012014|
0417|Cobalto urinário|01012014|
0418|Cobre sanguíneo|01012014|
0419|Cobre urinário|01012014|
0420|Cocaína|01012014|
0421|Coccidioides (pesquisa)|01012014|
0422|Cólera (pesquisa)|01012014|
0423|Colesterol (HDL)|01012014|
0424|Colesterol (LDL)|01012014|
0425|Colesterol (VLDL)|01012014|
0426|Colesterol total|01012014|
0427|Complemento C2|01012014|
0428|Complemento C3|01012014|
0429|Complemento C4|01012014|
0430|Complemento C5|01012014|
