CODIGO|DESCRICAO|DT_INICIO|DT_FIM
2018|1497|01012018|31122018
2019|1497|01012019|31122019
2020|1558,50|01012020|31012020
2020|1567,50|01022020|31122020
2021|1650,00|01012021|31122021
2022|1818,00|01012022|31122022
